"","ชื่อโรงเรียน","จังหวัด","lat","lon","school_size","math","sci","eng","math.sd","sci.sd","eng.sd"
"1","กุนนทีรุทธารามวิทยาคม","กรุงเทพมหานคร",13.7820379977,100.572340211,"L",18.4558823529412,24.6071428571429,27.0357142857143,10.0569346247426,5.7859508199393,9.64958526561216
"2","จันทร์ประดิษฐารามวิทยาคม","กรุงเทพมหานคร",13.7168189786,100.442485743,"XL",20.8474576271186,26.45,23.8135593220339,10.7138543232294,10.702150927863,8.85230746515433
"3","เจ้าพระยาวิทยาคม","กรุงเทพมหานคร",13.6737393,100.5358734,"M",15.9090909090909,23.8818181818182,24.6590909090909,7.09513277472022,4.75937352638311,6.12604351036696
"4","แจงร้อนวิทยา","กรุงเทพมหานคร",13.6751621208,100.519076586,"M",17.65625,25.64375,21.5625,8.58626568033702,5.5814536636973,4.26956281914983
"5","ชิโนรสวิทยาลัย","กรุงเทพมหานคร",13.7482,100.4791,"XL",22.0454545454545,27.6246753246753,28.1980519480519,11.8288735221841,7.92120996612319,11.0368951868579
"6","ไชยฉิมพลีวิทยาคม","กรุงเทพมหานคร",13.733511002,100.433616042,"M",17.1666666666667,26.6392857142857,26.8333333333333,11.9098798522587,7.57699398918119,10.0541687634438
"7","ดอนเมืองจาตุรจินดา","กรุงเทพมหานคร",13.9148786,100.5928264,"L",18.2777777777778,26.74,25.1388888888889,7.97407415226737,6.88014765962053,11.4664227643194
"8","เตรียมอุดมศึกษาน้อมเกล้า","กรุงเทพมหานคร",13.7845977,100.691807,"XL",51.4358108108108,43.539527027027,50.1942567567568,27.0991051139621,16.5574204477515,17.7668627610223
"9","เตรียมอุดมศึกษาพัฒนาการ","กรุงเทพมหานคร",13.7294355,100.6471243,"XL",50.6443298969072,43.4541237113402,52.7577319587629,27.8882818226605,17.2315323838449,20.4376010275663
"10","เตรียมอุดมศึกษาพัฒนาการ รัชดา","กรุงเทพมหานคร",13.7737634,100.5734533,"XL",25.8578431372549,29.1727722772277,33.0269607843137,14.2445712172487,9.20199034109598,14.9487948975674
"11","เตรียมอุดมศึกษาพัฒนาการสุวรรณภูมิ","กรุงเทพมหานคร",13.7732953047,100.750379562,"M",31.8965517241379,31.8103448275862,31.9827586206897,17.5719842516966,11.605474226403,10.2017442124065
"12","ไตรมิตรวิทยาลัย","กรุงเทพมหานคร",13.7386764,100.51396966,"L",22.34375,27.6352941176471,28.2421875,11.1068400169126,8.63109713707715,13.3684577570646
"13","ทวีธาภิเศก","กรุงเทพมหานคร",13.7448721219,100.482738018,"XL",33.4036144578313,32.9280487804878,32.7409638554217,22.1778369141584,13.036695828355,14.4387608088021
"14","เทพลีลา","กรุงเทพมหานคร",13.7582179006,100.615616087,"XL",22.1818181818182,31.2188679245283,25.7272727272727,12.2290499753523,9.61700330351991,10.0855452954079
"15","เทพศิรินทร์ร่มเกล้า","กรุงเทพมหานคร",13.7459976518,100.757986307,"XL",27.975,31.7095,32.7875,20.7610716476678,12.1041121132657,16.081444189569
"16","ธนบุรีวรเทพีพลารักษ์","กรุงเทพมหานคร",13.721545,100.475418,"M",15,24.4775,22.1323529411765,4.72952651463459,5.71260091469081,6.05580664467146
"17","นนทรีวิทยา","กรุงเทพมหานคร",13.7067982,100.5473522,"XL",18,26.9963636363636,25.2727272727273,9.30949336251263,6.60832005424934,7.65915585101703
"18","นวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า","กรุงเทพมหานคร",13.7562443,100.6805688,"XL",39.0977443609023,36.8369402985075,44.3097014925373,25.4473951341974,14.6822496907446,20.8419846997836
"19","นวมินทราชินูทิศ สตรีวิทยา ๒","กรุงเทพมหานคร",13.9020222,100.7412654,"XL",29,32.896835443038,36.6613924050633,12.5763491110109,10.603108947114,13.6281334890485
"20","นวมินทราชินูทิศ สตรีวิทยา พุทธมณฑล","กรุงเทพมหานคร",13.773872,100.356042,"XL",30.6756756756757,32.695045045045,36.5540540540541,18.2250637420819,13.8858413091029,15.8438906136993
"21","นวมินทราชูทิศ กรุงเทพมหานคร","กรุงเทพมหานคร",13.8295557,100.6509529,"XL",24.1944444444444,28.9444444444444,30.125,13.2543599874401,10.4449558936586,14.6087192103309
"22","นวลนรดิศวิทยาคม รัชมังคลาภิเษก","กรุงเทพมหานคร",13.6468812977,100.346635946,"M",18.3333333333333,27.8458333333333,23.3333333333333,12.9392520040473,8.36900282789613,7.25613637905981
"23","บดินทรเดชา (สิงห์ สิงหเสนี)","กรุงเทพมหานคร",13.7673465,100.6154699,"XL",56.8402777777778,46.0517361111111,54.5659722222222,30.9381094785075,20.0605598974308,19.6340645653381
"24","บดินทรเดชา (สิงห์ สิงหเสนี) ๒","กรุงเทพมหานคร",13.814421,100.6555085,"XL",43.9612676056338,39.218661971831,44.9735915492958,25.1101173375996,16.3920600148461,15.5002776155211
"25","บดินทรเดชา (สิงห์ สิงหเสนี) ๔","กรุงเทพมหานคร",13.7427200521,100.995853162,"XL",23.0797101449275,27.3268115942029,24.7101449275362,13.0478821778292,8.19637464563622,7.97844328999262
"26","บางกะปิ","กรุงเทพมหานคร",13.7701403,100.6520955,"XL",25.6839622641509,29.4660377358491,30.297619047619,16.3828199025829,10.9016153175525,11.7778462609166
"27","บางปะกอกวิทยาคม","กรุงเทพมหานคร",13.6832359061,100.495253205,"XL",37.1875,34.52109375,39.482421875,18.61334717114,11.4368561035998,14.7114029770414
"28","เบญจมราชาลัย ในพระบรมราชูปถัมภ์","กรุงเทพมหานคร",13.7508934917,100.502307512,"XL",35.2696078431373,34.6333333333333,41.1764705882353,20.1814383360066,13.4023020287549,15.64498576219
"29","ปทุมคงคา","กรุงเทพมหานคร",13.7180566,100.5820504,"L",19.8076923076923,26.4528846153846,23.5817307692308,12.1151152738861,9.37960560576822,10.7928036520263
"30","พรตพิทยพยัต","กรุงเทพมหานคร",13.7265210327,100.784479178,"XL",25.3794642857143,29.9638392857143,28.1808035714286,17.9532984667596,12.9543067551093,10.9177519827785
"31","พระโขนงพิทยาลัย","กรุงเทพมหานคร",13.6949144,100.5907083,"L",23.3163265306122,27.99375,26.3775510204082,15.2615031334124,10.5374187612022,9.39665865494491
"32","พิทยาลงกรณ์พิทยาคม","กรุงเทพมหานคร",13.526605,100.419418,"M",18.8636363636364,25.7181818181818,23.6363636363636,5.51856371300952,6.27898370467995,5.01418442566141
"33","พิบูลประชาสรรค์","กรุงเทพมหานคร",13.7633,100.551,"L",19.4230769230769,27.4,24.1346153846154,10.2649203476495,11.8930301717715,10.0956959603128
"34","พิบูลอุปถัมภ์","กรุงเทพมหานคร",13.7965366994,100.588087142,"L",17.2826086956522,25.4934782608696,25.4347826086957,6.52412670393608,5.05056937266902,10.1383098239774
"35","พุทธจักรวิทยา","กรุงเทพมหานคร",13.7313984,100.5295928,"M",16.0416666666667,26.0833333333333,23.2291666666667,6.25757117176441,10.011001524081,5.84988182993831
"36","โพธิสารพิทยากร","กรุงเทพมหานคร",13.7678766692,100.426626205,"XL",37.9716981132075,35.5504672897196,50.8844339622642,22.2221286311297,12.9587999082708,19.8483588900677
"37","มหรรณพาราม","กรุงเทพมหานคร",13.780319,100.450644,"L",15.1923076923077,26.1583333333333,22.7403846153846,7.10362854191704,6.93001767151688,5.26805503446517
"38","มักกะสันพิทยา","กรุงเทพมหานคร",13.5,100.14,"M",25.7142857142857,26.5214285714286,28.9285714285714,10.7736450921417,9.08821843298863,10.2425931426428
"39","มัธยมวัดดาวคนอง","กรุงเทพมหานคร",13.695346,100.487387,"M",16.1363636363636,24.6772727272727,20.7954545454545,7.27698738864823,4.14290741124899,3.6345876344817
